BASENAME,White(Count),Black or African American(Count),American Indian and Alaska Native(Count),Asian(Count),Native Hawaiian and Other Pacific Islander(Count),Some Other Race(Count),Two or More Races(Count),Total Population,White(Percent),Black or African American(Percent),American Indian and Alaska Native(Percent),Asian(Percent),Native Hawaiian and Other Pacific Islander(Percent),Some Other Race(Percent),Two or More Races(Percent),Hispanic or Latino (of any race)(Count),Not Hispanic or Latino(Count),Hispanic or Latino (of any race)(Percent),Not Hispanic or Latino(Percent),Total Population for whom poverty status is determined (Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone (Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone (Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone (Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races (Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race) (Below Poverty Level),"Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino (Below Poverty Level)",Population for whom poverty status is determined (% Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone (% Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone (% Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone (% Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races (% Below Poverty Level),Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race) (% Below Poverty Level),"Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino (% Below Poverty Level)"
152.01,"2,758",118,16,235,0,42,170,"3,339",82.60%,3.50%,0.50%,7.00%,0.00%,1.30%,5.10%,127,"3,212",3.80%,96.20%,149,99,31,0,0,0,99,4.40%,3.50%,18.90%,0.00%,0.00%,0.00%,3.60%
152.02,"3,749",77,20,572,0,36,270,"4,724",79.40%,1.60%,0.40%,12.10%,0.00%,0.80%,5.70%,162,"4,562",3.40%,96.60%,384,155,1,51,0,0,155,8.20%,4.10%,2.00%,71.80%,0.00%,0.00%,4.10%
152.03,"2,286",55,2,251,0,13,156,"2,763",82.70%,2.00%,0.10%,9.10%,0.00%,0.50%,5.60%,86,"2,677",3.10%,96.90%,61,61,0,0,0,0,61,2.10%,2.30%,-,0.00%,0.00%,0.00%,2.30%
154,"5,377",90,33,80,1,71,300,"5,952",90.30%,1.50%,0.60%,1.30%,0.00%,1.20%,5.00%,177,"5,775",3.00%,97.00%,306,284,0,4,18,4,284,5.40%,5.60%,-,1.20%,15.70%,1.20%,5.60%
155,"2,560",30,6,65,2,14,103,"2,780",92.10%,1.10%,0.20%,2.30%,0.10%,0.50%,3.70%,51,"2,729",1.80%,98.20%,88,88,0,0,0,0,88,3.10%,3.40%,0.00%,0.00%,0.00%,0.00%,3.40%
156.01,"1,911",24,11,12,0,12,104,"2,074",92.10%,1.20%,0.50%,0.60%,0.00%,0.60%,5.00%,44,"2,030",2.10%,97.90%,50,35,10,5,0,0,35,2.50%,1.80%,30.30%,100.00%,0.00%,0.00%,1.80%
156.02,"1,342",27,1,67,0,20,106,"1,563",85.90%,1.70%,0.10%,4.30%,0.00%,1.30%,6.80%,58,"1,505",3.70%,96.30%,47,47,0,0,0,0,47,3.00%,3.30%,0.00%,-,0.00%,0.00%,3.30%
157.01,"2,166",9,4,14,0,25,127,"2,345",92.40%,0.40%,0.20%,0.60%,0.00%,1.10%,5.40%,67,"2,278",2.90%,97.10%,24,20,4,0,0,0,20,1.10%,1.00%,100.00%,-,0.00%,-,1.00%
157.02,"4,018",55,6,337,0,37,282,"4,735",84.90%,1.20%,0.10%,7.10%,0.00%,0.80%,6.00%,116,"4,619",2.40%,97.60%,184,147,5,0,32,0,147,3.80%,3.40%,100.00%,-,94.10%,0.00%,3.50%
158,"4,472",41,92,32,0,20,253,"4,910",91.10%,0.80%,1.90%,0.70%,0.00%,0.40%,5.20%,88,"4,822",1.80%,98.20%,171,148,23,0,0,0,148,3.50%,3.50%,18.30%,-,0.00%,0.00%,3.50%
160.01,"3,076",46,29,19,2,33,168,"3,373",91.20%,1.40%,0.90%,0.60%,0.10%,1.00%,5.00%,77,"3,296",2.30%,97.70%,197,156,0,11,30,11,156,6.10%,5.10%,0.00%,28.20%,25.40%,15.70%,5.20%
160.02,"2,629",14,20,22,0,6,129,"2,820",93.20%,0.50%,0.70%,0.80%,0.00%,0.20%,4.60%,52,"2,768",1.80%,98.20%,20,20,0,0,0,0,20,0.70%,0.70%,0.00%,-,0.00%,0.00%,0.80%
161,"1,752",100,11,436,0,24,155,"2,478",70.70%,4.00%,0.40%,17.60%,0.00%,1.00%,6.30%,72,"2,406",2.90%,97.10%,69,29,33,0,0,0,29,2.70%,1.80%,17.40%,0.00%,0.00%,-,1.80%
162,"1,493",254,98,20,0,33,234,"2,132",70.00%,11.90%,4.60%,0.90%,0.00%,1.50%,11.00%,101,"2,031",4.70%,95.30%,203,111,8,0,68,70,111,8.90%,6.90%,2.90%,0.00%,37.80%,93.30%,6.90%
163,"6,720",617,85,157,2,88,439,"8,108",82.90%,7.60%,1.00%,1.90%,0.00%,1.10%,5.40%,308,"7,800",3.80%,96.20%,128,69,6,0,53,51,69,1.90%,1.20%,1.00%,0.00%,12.60%,24.10%,1.20%
164,"3,377",304,19,44,0,59,223,"4,026",83.90%,7.60%,0.50%,1.10%,0.00%,1.50%,5.50%,155,"3,871",3.80%,96.20%,143,113,0,16,14,16,113,3.60%,3.20%,0.00%,66.70%,5.90%,8.20%,3.20%
165.01,"1,670",4,5,8,1,15,79,"1,782",93.70%,0.20%,0.30%,0.40%,0.10%,0.80%,4.40%,33,"1,749",1.90%,98.10%,128,128,0,0,0,0,128,7.20%,7.60%,-,0.00%,0.00%,-,7.60%
165.02,"4,033",25,4,28,0,17,177,"4,284",94.10%,0.60%,0.10%,0.70%,0.00%,0.40%,4.10%,68,"4,216",1.60%,98.40%,229,228,1,0,0,19,209,5.40%,5.50%,2.00%,0.00%,0.00%,17.90%,5.10%
166,"4,361",7,16,45,0,17,210,"4,656",93.70%,0.20%,0.30%,1.00%,0.00%,0.40%,4.50%,86,"4,570",1.80%,98.20%,277,277,0,0,0,0,277,6.10%,6.20%,-,0.00%,0.00%,0.00%,6.30%
167,"2,293",4,2,23,0,27,107,"2,456",93.40%,0.20%,0.10%,0.90%,0.00%,1.10%,4.40%,78,"2,378",3.20%,96.80%,168,142,0,14,0,19,137,6.70%,6.00%,0.00%,16.30%,0.00%,20.20%,5.80%
168.01,"1,511",2,3,12,0,1,59,"1,588",95.20%,0.10%,0.20%,0.80%,0.00%,0.10%,3.70%,18,"1,570",1.10%,98.90%,39,39,0,0,0,0,39,2.10%,2.20%,,0.00%,0.00%,0.00%,2.30%
168.02,"2,183",7,17,6,0,35,120,"2,368",92.20%,0.30%,0.70%,0.30%,0.00%,1.50%,5.10%,44,"2,324",1.90%,98.10%,109,103,0,0,6,10,93,4.50%,4.60%,,0.00%,4.70%,12.20%,4.30%
169.01,"2,498",17,7,33,0,14,107,"2,676",93.30%,0.60%,0.30%,1.20%,0.00%,0.50%,4.00%,52,"2,624",1.90%,98.10%,208,200,0,6,0,0,200,7.90%,7.90%,0.00%,12.00%,0.00%,0.00%,7.90%
169.02,"1,853",8,18,8,3,22,94,"2,006",92.40%,0.40%,0.90%,0.40%,0.10%,1.10%,4.70%,46,"1,960",2.30%,97.70%,151,126,0,21,4,21,126,7.20%,6.40%,0.00%,100.00%,5.20%,34.40%,6.40%
9400,454,1,281,0,0,85,10,831,54.60%,0.10%,33.80%,0.00%,0.00%,10.20%,1.20%,56,775,6.70%,93.30%,132,0,0,0,0,0,0,32.00%,,,,,,
